id,game,url,rating,category,release_date,platforms,genres,themes,companies,description
348977,Splatoon Raiders,https://www.igdb.com/g/7h9t,9.5,Main Game,"[""Jul 23, 2026 (Worldwide [WW])""]","[""Nintendo Switch 2""]","[""Adventure"", ""Shooter""]","[""Action"", ""Survival""]","[""Nintendo"", ""Nintendo EPD Production Group No. 5"", ""Monolith Soft""]",
356188,Agefield High: Rock the School,https://www.igdb.com/g/7mu4,,Main Game,"[""Aug 12, 2026 (Worldwide [WW])"", ""2026 (Worldwide [WW])"", ""2026 (Worldwide [WW])""]","[""PlayStation 5"", ""Xbox Series X|S"", ""PC (Microsoft Windows)""]","[""Adventure"", ""Indie""]","[""Action""]","[""Refugium Games"", ""Perp Games""]",
347132,Marvel Tokon: Fighting Souls,https://www.igdb.com/g/7fuk,,Main Game,"[""Jul 24, 2026 (Worldwide [WW])"", ""Jul 24, 2026 (Worldwide [WW])"", ""Aug 06, 2026 (Worldwide [WW])"", ""Aug 06, 2026 (Worldwide [WW])""]","[""PlayStation 5"", ""PC (Microsoft Windows)""]","[""Fighting""]","[""Action""]","[""Arc System Works"", ""PlayStation Studios"", ""Marvel Games"", ""Sony Interactive Entertainment""]",
400379,Madden NFL 27,https://www.igdb.com/g/8kxn,,Main Game,"[""Aug 13, 2026 (Worldwide [WW])"", ""Aug 13, 2026 (Worldwide [WW])"", ""Aug 13, 2026 (Worldwide [WW])"", ""Aug 06, 2026 (Worldwide [WW])"", ""Aug 13, 2026 (Worldwide [WW])"", ""Aug 06, 2026 (Worldwide [WW])""]","[""PlayStation 5"", ""Xbox Series X|S"", ""Nintendo Switch 2"", ""PC (Microsoft Windows)""]","[""Simulator"", ""Sport"", ""Strategy""]","[""Action""]","[""EA Sports"", ""EA Orlando""]",
129595,A Nightmare on Elm Street,https://www.igdb.com/g/2rzv,5.663042521910481,Main Game,"[""Oct 1990 (North America [NA])""]","[""Nintendo Entertainment System""]","[""Platform""]","[""Action"", ""Horror""]","[""Rare"", ""LJN""]",
